67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
3.12,2.22,5.19,4.94,12.9,25.0,14.54,25.95,6.06,8.08,18.27,5.39,4.49,4.11,3.7,4.26,4.08,4.59,5.83,1.48,3.99,14.44,3.44,3.19,3.19,4.02,3.7,11.9,1.25,5.73
3.12,2.16,6.89,4.98,13.13,25.0,13.72,26.4,6.16,8.07,17.92,4.35,4.45,3.84,3.72,4.3,4.25,6.78,7.13,1.54,3.92,14.96,3.44,3.02,3.02,3.94,3.81,11.13,1.2,6.54
2.97,2.36,7.66,5.08,13.23,25.0,15.25,26.1,5.72,8.27,16.75,4.79,4.49,3.61,3.41,4.54,3.98,7.8,7.48,1.45,4.19,14.32,3.34,2.96,2.96,3.75,3.97,13.21,1.22,8.06
2.95,2.33,7.98,4.8,16.05,25.0,15.75,25.38,6.9,8.05,16.54,4.64,4.34,3.5,3.47,4.39,3.88,7.69,7.45,1.53,3.89,15.36,3.24,2.83,2.83,3.85,4.14,12.21,1.23,8.97
3.01,2.3,7.09,5.19,14.32,25.0,13.79,26.15,6.46,8.41,17.2,4.53,3.95,3.71,3.66,4.99,5.33,7.29,6.95,1.48,3.89,15.64,3.24,2.7,2.7,3.75,3.92,12.76,1.04,7.86
3.34,2.52,7.79,5.34,13.73,25.0,15.29,26.58,5.9,8.23,17.25,5.54,3.87,3.99,3.67,4.65,4.38,5.74,6.77,1.48,4.04,15.27,3.24,3.02,3.02,3.76,3.91,12.76,1.18,9.18
3.04,2.36,6.19,5.02,13.73,25.0,16.42,27.67,6.82,8.68,16.55,6.77,4.5,3.56,3.77,4.66,4.47,5.31,6.96,1.51,4.04,15.76,3.24,3.1,3.1,3.73,3.91,13.29,1.2,8.76
2.97,2.34,5.48,4.82,13.43,25.0,13.58,26.06,7.45,8.29,15.41,6.87,4.43,3.62,3.71,3.77,3.7,4.84,6.22,1.42,3.55,13.05,3.24,2.78,2.78,3.68,3.39,13.92,1.09,5.55
3.01,2.45,5.53,4.53,13.0,25.0,16.03,25.65,6.84,8.96,16.81,5.44,4.6,3.79,3.98,4.03,3.88,4.52,6.13,1.42,4.04,12.4,3.21,2.97,2.97,3.81,4.04,11.99,1.06,5.15
3.08,2.47,5.69,4.24,13.04,25.0,14.34,26.51,6.74,7.85,15.84,5.7,4.26,3.5,3.86,4.01,4.2,4.64,5.49,1.39,3.66,13.27,3.19,2.89,2.89,3.88,3.32,11.47,1.15,5.05
3.01,2.63,5.44,4.34,13.34,25.0,16.85,28.92,6.69,8.23,16.8,5.1,4.3,3.34,3.91,3.84,4.21,5.15,5.7,1.35,4.65,12.53,3.26,2.69,2.69,3.96,3.32,12.33,1.09,3.83
3.01,2.44,4.83,4.36,12.64,25.0,20.72,32.32,6.61,8.16,18.51,4.63,4.43,3.79,4.07,3.84,4.71,5.75,5.41,1.41,3.94,12.97,3.29,2.74,2.74,3.98,3.32,11.51,1.1,5.11
3.01,2.53,5.33,4.76,14.34,25.0,19.26,30.72,7.65,9.08,17.93,4.18,4.22,3.58,3.86,3.63,5.27,5.72,5.45,1.37,5.05,13.7,3.24,2.87,2.87,4.17,3.32,12.26,1.07,5.9
2.91,2.5,4.8,4.48,15.28,25.0,18.17,27.45,7.34,9.06,17.89,2.69,4.58,3.39,3.91,3.65,5.55,5.8,5.25,1.41,5.98,12.1,2.99,2.72,2.72,4.28,3.32,12.9,1.08,8.91
2.97,2.36,7.66,5.08,13.23,25.0,15.25,26.1,5.72,8.27,16.75,4.79,4.49,3.61,3.41,4.54,3.98,7.8,7.48,1.45,4.19,14.32,3.34,2.96,2.96,3.75,3.32,13.21,1.22,8.06
3.24,2.54,6.09,4.75,16.52,25.0,15.25,26.1,6.68,9.34,19.0,5.6,4.75,3.61,3.87,4.34,6.5,7.2,6.2,1.45,4.29,13.23,3.34,2.66,2.66,4.64,3.32,13.3,1.03,8.96
3.38,2.64,6.75,4.5,15.29,25.0,22.07,31.67,6.72,8.86,17.84,7.39,4.7,3.51,3.82,3.75,5.96,7.83,6.65,1.53,4.98,12.75,2.99,2.62,2.62,4.76,3.32,13.3,1.08,6.29
3.74,2.65,7.13,4.57,15.22,25.0,19.42,32.45,6.97,8.29,18.82,7.71,4.91,3.92,4.3,4.29,7.03,8.15,7.17,1.52,5.54,13.0,3.09,2.66,2.66,4.77,3.32,13.92,1.13,6.1
3.66,2.85,6.55,4.63,15.68,25.0,21.68,31.28,7.09,8.22,19.17,7.56,4.89,3.98,4.15,4.02,7.01,7.24,7.24,1.51,4.44,13.15,3.09,2.69,2.69,4.78,3.32,13.92,1.08,5.71
3.83,2.85,4.23,4.49,15.59,25.0,22.82,32.56,6.97,8.52,21.14,5.49,5.23,3.83,4.3,3.96,6.98,6.8,6.99,1.56,5.96,13.35,3.8,2.76,2.76,5.24,3.32,13.42,1.16,4.71
5.25,2.94,5.36,4.76,17.16,25.0,22.24,35.64,7.78,8.73,22.16,5.66,5.96,4.11,4.53,4.4,7.43,7.34,7.52,1.57,4.91,13.07,3.8,3.23,3.23,6.93,3.32,13.92,1.22,7.29
5.47,2.94,5.65,4.81,18.11,25.0,24.37,36.31,8.02,8.79,24.45,3.74,5.1,4.18,4.2,3.67,7.6,7.35,7.85,1.49,5.65,12.54,3.8,3.27,3.27,8.0,3.32,13.6,1.22,7.79
6.06,3.1,7.2,5.03,16.16,25.0,24.98,38.53,8.59,9.03,23.25,4.49,4.76,4.87,4.48,4.21,7.47,7.63,7.75,1.58,5.43,14.18,3.46,3.4,3.4,8.69,3.32,13.56,1.21,7.88
6.05,3.06,6.27,5.11,16.28,27.98,26.23,41.62,8.14,9.04,23.63,3.77,5.09,4.55,4.59,5.34,7.96,7.75,8.1,1.64,5.78,15.19,3.56,3.4,2.69,8.75,3.32,13.84,1.17,8.08
6.06,3.07,7.0,4.8,18.62,31.04,25.3,41.49,7.91,9.31,24.35,4.72,5.43,5.24,4.26,4.99,7.88,7.49,8.1,1.65,5.98,15.84,3.39,3.4,2.83,8.49,4.12,13.47,1.14,6.77
6.07,3.06,7.61,4.97,17.66,31.0,25.64,39.38,8.06,9.25,23.51,5.21,5.45,5.58,4.54,5.02,7.99,7.63,8.15,1.67,5.59,15.46,3.44,3.4,2.98,8.21,3.71,13.91,1.26,6.53
5.76,3.12,6.08,5.06,18.97,31.0,24.39,39.08,7.96,9.1,24.44,6.06,5.09,5.34,4.55,5.06,8.2,7.54,8.37,1.68,5.61,15.36,3.57,3.4,3.1,7.88,3.94,13.29,1.23,5.9
5.79,3.28,5.14,5.03,21.4,31.0,25.7,40.57,8.34,8.95,25.65,5.45,5.8,5.11,4.75,5.4,8.29,7.72,8.53,1.76,5.64,13.31,3.79,3.4,3.1,8.07,3.83,13.6,1.32,5.14
5.87,3.37,4.68,5.08,21.63,36.38,27.69,41.2,8.83,9.39,25.48,5.18,5.47,4.93,4.79,5.48,8.67,7.61,8.51,1.79,4.81,16.12,3.68,3.4,3.22,8.09,3.75,14.11,1.26,5.64
6.05,3.77,4.43,5.27,22.28,37.75,28.63,45.64,9.4,9.4,26.98,4.34,5.43,6.33,4.7,5.16,8.71,7.77,8.55,1.82,5.99,17.05,3.81,3.4,3.28,8.48,3.85,13.97,1.19,5.85
