45,46,47,48,49,50,51
9.13,13.43,5.9,3.05,4.21,6.41,3.8
9.28,13.57,6.12,3.0,3.74,6.39,3.83
9.51,13.53,5.96,2.92,3.55,6.39,3.87
9.65,13.56,6.09,3.06,3.61,6.42,3.85
9.92,13.92,6.47,2.9,3.58,6.63,3.82
9.95,14.64,6.73,2.72,3.67,6.61,3.81
9.96,14.04,6.63,2.75,3.59,6.54,3.77
9.93,10.99,6.54,2.59,3.68,6.4,3.71
10.25,11.0,6.56,2.56,3.74,6.48,3.79
10.91,10.83,5.55,2.49,3.83,6.58,3.78
10.9,9.76,5.75,2.56,3.79,6.72,3.9
10.53,9.9,6.78,2.54,3.84,6.46,3.92
10.84,11.72,6.93,2.78,3.86,6.69,3.94
10.08,12.0,7.07,2.92,3.63,6.78,3.95
9.78,12.0,7.26,2.79,3.71,6.78,3.97
9.93,12.0,7.14,2.74,3.84,6.78,4.04
9.89,12.0,7.18,2.89,4.31,6.78,4.34
9.03,12.0,6.75,3.01,4.45,5.77,4.34
9.93,13.99,6.33,3.1,4.91,7.06,4.27
9.95,13.99,6.36,3.27,5.22,7.18,4.47
9.06,13.99,6.63,3.29,5.52,7.18,5.3
8.48,14.88,6.8,3.32,5.83,7.18,6.75
8.22,16.5,7.71,3.52,5.59,6.58,7.27
8.38,17.99,7.89,3.59,5.59,6.65,7.89
9.35,19.71,7.87,3.73,5.59,6.65,7.95
9.61,20.0,8.22,3.37,5.48,6.58,7.12
9.67,19.34,8.51,3.46,5.79,7.05,6.93
9.69,20.0,8.23,3.97,5.61,7.18,7.13
8.59,20.0,7.92,3.92,5.85,6.98,7.48
9.12,19.2,7.86,3.64,5.73,6.98,7.67
9.64,20.0,8.35,3.77,5.42,6.98,7.71
9.64,20.0,8.82,3.79,5.2,6.98,7.95
9.69,20.0,10.62,3.81,5.86,7.87,8.01
10.75,20.0,10.79,4.03,5.84,7.98,7.95
11.34,20.0,11.14,4.38,5.84,7.52,8.11
13.66,20.0,11.02,4.26,5.66,6.68,8.6
15.95,20.33,9.99,4.64,5.17,7.38,8.55
16.99,20.33,8.26,4.44,5.2,7.78,8.25
16.11,18.99,8.92,4.8,5.24,7.67,9.27
14.75,18.99,9.33,5.23,5.5,7.72,10.32
14.75,18.99,10.13,5.87,5.88,7.78,10.36
14.99,18.99,10.07,6.3,6.37,7.9,10.45
14.99,19.94,11.2,7.23,9.03,8.08,10.86
16.63,20.0,10.86,7.13,9.69,9.11,10.23
17.89,20.23,10.93,7.99,9.99,9.38,8.99
17.89,21.37,11.11,7.99,8.87,9.38,8.99
17.49,26.99,13.75,6.5,6.12,11.62,8.87
14.54,21.99,10.63,6.34,6.56,9.63,8.89
14.54,22.0,10.94,6.29,6.8,9.56,8.92
14.54,21.99,10.83,6.28,6.6,9.56,8.83
14.54,22.0,10.86,6.36,6.77,9.56,8.72
14.76,22.97,9.58,6.22,7.2,9.37,7.9
14.62,23.74,9.76,6.66,7.14,9.32,7.97
14.78,23.74,9.78,6.63,7.86,10.27,7.37
14.78,22.74,9.41,6.34,8.11,10.28,7.09
15.18,22.0,8.89,6.42,7.78,10.62,6.49
15.79,22.23,8.9,6.84,7.64,11.18,6.49
15.29,22.0,8.89,6.68,6.78,10.7,6.19
14.68,22.0,8.89,5.89,6.45,10.2,6.79
14.62,22.0,8.89,5.94,6.58,10.48,6.77
