4.78,4.54,15.36,11.95,27.0,11.87,6.93,8.6,220.0,6.86,10.53,1.8,8.9,11.42
5.11,4.53,17.0,11.77,27.0,12.26,7.34,9.04,220.0,7.38,10.91,1.85,9.59,11.79
5.27,4.54,17.5,9.47,21.74,13.67,6.84,9.65,213.75,8.28,11.61,1.85,8.53,11.82
5.46,4.76,16.47,9.24,17.41,14.0,6.79,10.11,215.83,9.67,9.67,1.9,8.74,12.26
4.96,4.62,9.1,9.24,15.61,14.95,6.68,9.29,218.73,8.24,11.22,1.95,6.93,11.42
5.36,4.73,8.96,7.9,14.75,14.33,6.66,9.24,220.0,8.08,5.49,1.85,6.62,11.5
5.07,5.0,8.91,7.92,14.94,12.95,6.41,9.43,220.0,8.71,5.32,1.84,6.76,11.26
5.16,5.15,8.96,7.92,15.87,12.18,6.34,10.09,220.0,8.93,5.3,1.9,6.78,10.97
5.15,5.18,8.99,7.92,15.87,12.43,6.3,10.19,220.0,9.0,5.38,1.73,6.55,11.01
5.04,4.89,9.07,7.92,15.87,13.99,6.54,11.54,220.0,8.99,5.44,1.44,6.46,11.0
5.46,4.86,8.8,7.92,15.87,13.77,6.47,10.78,220.0,8.88,6.16,1.6,6.85,11.29
