345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365
5.65,4.27,4.08,6.97,37.87,11.35,22.95,4.33,4.77,8.11,7.65,4.49,4.44,13.16,4.63,3.25,3.74,8.26,12.65,2.52,129.81
5.27,4.23,4.77,6.9,36.91,11.55,22.95,4.25,4.33,7.99,7.52,4.14,4.35,13.01,4.48,3.25,3.7,8.27,11.63,2.4,174.01
5.26,4.63,4.74,7.8,38.7,11.99,22.95,4.34,4.52,7.91,7.42,4.31,4.32,12.85,4.27,3.25,3.83,8.47,11.65,2.31,174.24
4.94,4.47,3.64,8.49,40.25,12.04,22.95,4.46,4.6,8.23,7.11,4.2,4.18,12.9,4.1,3.25,3.86,8.46,12.01,2.31,166.52
4.71,4.63,4.24,8.92,38.11,11.43,22.95,4.34,4.89,8.16,7.33,4.13,4.12,12.45,4.19,3.25,3.78,8.51,12.44,2.25,184.26
4.7,5.01,5.13,9.21,38.47,11.45,22.95,4.36,5.22,8.2,7.86,4.19,4.3,12.81,4.31,3.25,3.87,8.67,12.12,2.3,174.18
4.84,5.12,5.8,9.52,36.35,11.07,22.95,4.55,5.81,8.58,8.12,4.72,4.39,13.03,4.62,3.25,4.04,9.57,12.0,2.47,227.15
5.03,5.34,7.38,9.51,34.9,10.89,22.95,4.73,6.05,8.92,8.15,4.57,4.58,13.29,5.04,3.25,4.14,10.27,12.52,2.51,261.54
4.97,5.19,7.11,9.55,32.96,11.26,22.95,4.77,6.14,9.19,8.02,4.49,4.63,14.08,5.23,3.25,4.38,10.48,13.13,2.51,190.92
4.88,5.23,6.71,9.61,33.25,11.92,22.95,4.96,6.5,9.86,7.51,4.64,4.49,15.11,6.09,3.25,4.64,10.07,14.53,2.73,163.13
5.0,4.86,4.31,9.33,36.02,11.69,22.95,5.14,6.58,10.53,7.24,4.77,4.25,16.07,7.92,3.25,4.37,9.5,15.08,2.72,110.05
4.98,5.21,4.05,9.43,36.64,12.01,22.95,5.18,6.69,9.96,6.84,4.79,4.37,16.57,7.11,3.25,4.65,8.65,15.12,3.04,81.38
4.95,5.12,4.35,9.37,35.02,11.88,22.95,5.32,6.61,9.52,6.45,5.09,4.45,16.35,5.77,3.25,4.61,7.84,14.9,3.05,86.41
4.97,5.0,5.9,9.33,33.92,12.43,22.95,5.55,6.9,9.96,6.39,5.03,4.42,15.91,5.57,3.25,4.56,7.9,14.86,3.04,129.53
5.07,5.38,5.76,9.19,33.28,12.24,22.95,5.66,7.6,9.79,6.7,4.92,4.43,15.92,5.38,3.25,4.69,8.39,15.1,2.99,144.1
5.48,5.14,6.45,9.5,37.14,12.56,22.95,5.78,8.17,10.05,7.31,4.99,4.57,15.6,5.16,3.25,4.91,8.74,15.27,3.04,178.49
5.64,4.95,7.2,9.26,37.96,12.99,22.95,5.84,8.23,9.89,7.56,4.9,4.26,15.55,5.17,3.25,4.62,8.45,15.52,2.91,195.73
5.54,4.96,5.7,9.0,37.07,11.92,22.95,5.7,8.32,10.56,7.66,5.1,4.18,15.64,5.45,3.25,4.45,7.95,15.16,2.72,162.89
5.51,5.15,5.58,9.24,37.64,11.64,22.95,5.74,8.13,10.86,7.8,5.28,4.15,16.16,5.37,3.25,4.4,7.61,15.1,2.85,172.04
5.55,5.25,6.0,9.11,34.66,11.99,22.95,5.79,8.3,11.23,7.92,5.39,4.14,16.5,5.8,3.25,4.5,7.01,15.15,2.91,187.24
5.55,5.15,4.88,9.12,34.12,11.31,22.95,6.01,7.98,11.53,7.95,5.82,4.19,15.82,5.67,3.25,4.64,6.44,15.42,2.82,182.37
5.47,5.24,6.33,8.87,32.98,10.44,22.95,6.5,7.67,11.41,7.61,6.3,3.96,15.49,5.35,3.25,4.44,5.82,15.22,2.82,189.11
5.46,5.28,5.75,9.0,31.71,9.16,22.95,6.61,7.54,10.81,7.69,6.2,3.75,15.25,5.33,3.25,4.7,5.79,15.42,2.89,185.68
5.47,5.36,4.38,9.03,30.49,9.49,22.95,6.68,7.62,9.66,7.58,6.09,3.72,15.14,5.07,3.25,4.49,5.84,15.28,2.87,175.03
5.72,5.22,3.59,8.77,30.65,9.94,22.95,7.12,7.42,9.36,7.54,6.05,3.59,14.75,4.85,3.25,4.44,5.68,15.35,2.87,207.32
5.99,5.11,3.59,8.64,27.98,10.34,22.95,6.98,6.74,8.7,7.42,5.69,3.83,14.18,4.58,3.25,4.4,5.5,15.61,2.74,207.32
6.21,5.19,3.59,8.56,27.98,10.34,22.95,6.54,6.77,8.4,7.69,5.62,4.22,14.27,4.42,3.25,4.32,5.68,14.75,2.98,207.32
6.92,5.35,3.59,8.0,27.98,10.34,22.95,6.51,6.78,8.37,8.73,5.09,3.52,13.79,4.41,3.25,4.3,6.49,14.34,2.79,207.32
