391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411
20.04,6.54,3.6,5.25,24.99,24.68,2.36,5.47,3.82,4.08,6.53,7.35,2.22,3.75,11.41,4.38,3.58,3.45,7.99,9.99,5.09
20.15,6.84,4.09,6.22,24.6,24.79,2.11,5.21,3.8,4.15,6.39,6.99,2.39,3.79,11.98,4.35,3.58,3.3,7.99,8.39,7.41
19.19,7.37,3.94,6.59,26.24,22.89,2.52,5.08,3.77,4.2,6.05,7.3,2.3,3.64,11.03,4.24,3.58,3.3,8.05,9.99,6.57
18.35,7.73,3.11,7.08,26.17,23.0,3.11,4.91,3.78,4.13,5.59,6.55,2.25,4.02,10.84,4.4,3.58,3.15,8.89,9.99,6.22
17.5,7.77,3.12,7.35,26.9,20.99,3.59,4.9,3.83,4.02,5.74,6.59,2.32,3.95,11.52,4.08,3.58,3.16,8.76,9.99,6.28
16.46,7.79,3.72,7.67,24.2,20.99,3.5,4.92,3.83,4.04,6.21,7.31,2.18,3.65,11.64,4.1,3.58,3.27,8.8,9.99,5.52
17.85,7.57,4.0,7.67,24.17,20.6,3.73,4.94,4.1,4.39,7.0,7.66,2.35,4.23,11.76,4.37,3.58,3.36,9.97,9.99,7.6
18.11,7.21,5.95,7.42,24.62,16.55,4.18,4.9,4.48,5.06,6.9,7.77,2.58,3.8,12.33,5.42,3.58,3.8,10.04,9.99,9.2
17.68,7.42,6.15,7.66,23.89,18.22,5.7,4.68,4.97,5.81,7.43,7.84,2.58,4.41,13.85,5.67,3.58,2.97,10.39,10.74,7.23
16.82,7.28,5.14,7.97,23.8,15.33,5.21,5.32,4.9,5.37,8.09,7.49,2.88,4.1,14.98,5.73,3.58,3.69,9.91,11.19,6.31
16.71,6.72,4.17,8.17,21.01,17.58,4.22,6.17,5.21,5.7,8.1,7.26,2.67,4.63,15.76,7.32,3.58,3.17,9.54,11.49,4.86
15.96,6.83,3.41,7.7,23.51,17.0,4.75,5.89,5.25,5.62,7.41,6.78,3.4,4.64,17.63,6.79,3.58,3.52,7.95,11.77,4.12
16.54,7.01,3.92,8.07,22.32,16.86,5.05,5.67,5.4,5.28,7.05,6.67,3.02,4.35,18.04,6.31,3.58,3.62,7.65,11.88,4.48
17.12,6.95,5.13,7.57,22.39,16.36,6.33,5.38,5.32,5.35,6.6,6.57,2.71,4.62,17.28,5.89,3.58,3.82,8.16,11.99,5.8
17.2,7.02,5.77,7.8,22.72,16.53,7.67,6.25,5.57,5.48,6.55,6.8,2.38,4.3,16.12,5.62,3.58,3.54,8.23,12.34,6.12
17.91,7.38,4.8,6.97,21.1,16.41,7.71,6.88,5.5,5.62,7.55,7.16,2.76,4.23,14.94,5.35,3.58,4.04,8.31,12.76,7.27
17.98,7.2,5.98,7.42,23.22,17.12,5.55,7.1,5.3,5.69,7.91,7.68,2.65,4.77,13.54,5.31,3.58,4.14,8.37,11.49,7.34
19.5,7.04,5.21,7.0,22.83,16.62,4.76,7.2,5.06,5.75,7.57,7.66,2.75,4.28,14.79,5.08,3.58,4.41,7.53,12.99,6.42
20.88,6.91,4.19,7.47,22.68,17.39,4.31,6.98,5.02,5.72,8.01,7.83,2.64,4.97,14.45,5.16,3.58,4.01,7.16,12.99,6.33
21.23,6.75,4.0,7.34,22.7,18.52,4.18,6.85,4.96,5.7,8.4,8.2,3.32,5.45,13.95,5.35,3.58,4.1,6.6,10.99,7.14
21.89,6.83,4.39,7.15,23.21,17.3,4.3,7.49,4.77,5.24,8.42,7.99,2.68,5.39,14.8,5.52,3.58,3.82,5.59,12.34,7.5
21.98,6.53,4.76,6.75,23.81,18.87,4.54,7.49,4.94,4.56,7.37,7.45,3.01,4.68,13.5,5.61,3.58,3.82,5.02,12.99,6.85
22.53,6.44,4.92,6.74,20.44,17.02,3.83,7.24,4.99,4.24,6.21,7.53,2.66,4.73,13.14,5.39,3.58,3.74,5.36,12.49,6.88
23.3,6.51,3.78,7.09,20.9,17.28,3.7,7.29,5.44,4.66,6.27,7.46,2.41,4.51,12.97,5.33,3.58,3.83,5.78,10.99,6.83
25.25,6.29,3.48,6.78,19.66,16.12,3.37,7.16,4.32,4.18,5.33,7.38,3.28,4.58,13.05,5.04,3.58,4.03,5.52,11.35,6.99
27.33,6.48,3.48,7.08,21.95,18.93,3.37,7.22,5.77,4.1,4.98,7.06,2.48,4.41,12.49,5.05,3.58,3.65,5.78,10.99,6.99
28.66,6.79,3.48,7.19,21.95,18.93,3.37,6.89,5.57,4.38,5.22,7.06,2.29,4.46,12.72,5.07,3.58,4.13,5.91,11.51,6.99
28.17,6.78,3.48,7.45,21.95,18.93,3.37,6.79,6.41,4.0,5.58,8.52,2.37,4.37,11.71,4.96,3.58,3.8,6.55,11.97,6.99
