426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444
2.65,2.05,5.76,15.9,6.43,5.99,11.98,3.11,3.02,5.72,2.3,5.08,3.09,2.59,5.24,5.24,8.74,1.71,3.27
2.65,2.16,6.06,13.94,5.95,6.59,13.39,3.42,3.23,5.72,2.27,5.55,3.2,2.51,5.46,5.46,8.49,1.63,4.84
2.46,2.21,6.15,13.94,6.26,6.49,11.79,4.32,3.44,5.45,2.47,5.92,3.48,2.54,5.56,5.56,8.74,1.54,7.65
2.39,2.28,6.53,12.9,5.29,6.74,11.79,4.44,3.12,6.23,2.26,5.15,2.95,2.63,4.54,4.54,8.74,1.6,9.48
2.54,2.31,6.49,12.9,5.64,6.74,11.48,4.62,2.97,5.13,2.35,4.58,2.95,2.78,4.88,4.88,8.74,1.6,8.74
2.52,2.29,5.88,14.1,6.14,6.49,11.98,4.64,2.69,4.82,2.36,4.63,2.95,2.71,5.02,5.02,8.74,1.6,8.98
2.54,2.24,5.93,13.75,6.74,7.49,11.98,5.74,2.69,4.22,2.57,4.68,2.65,2.53,4.85,4.85,8.74,1.62,6.98
2.45,2.24,5.72,13.94,6.49,7.49,13.4,5.49,2.56,4.27,2.41,4.49,2.95,2.39,5.21,5.21,8.74,1.59,3.24
2.48,2.36,5.29,14.9,6.49,7.49,13.4,4.48,2.77,4.02,2.31,4.56,2.95,2.45,5.32,5.32,8.74,1.6,4.97
2.48,2.36,5.29,14.9,6.49,7.49,13.4,4.48,2.77,4.02,2.31,4.56,2.95,2.45,5.32,5.32,8.74,1.6,4.97
2.48,2.36,5.29,14.9,6.49,7.49,13.4,4.48,2.77,4.02,2.31,4.56,2.95,2.45,5.32,5.32,8.74,1.6,4.97
2.3,2.3,6.02,20.09,6.24,7.49,13.39,3.51,3.02,9.02,2.36,4.9,3.36,2.56,5.82,5.82,8.49,1.84,5.65
2.68,2.43,5.44,1.2,7.32,7.49,15.05,1.86,3.4,3.52,2.36,4.53,3.03,2.5,4.91,4.91,8.99,1.63,4.99
2.96,2.27,6.56,23.75,6.83,7.99,11.97,2.42,3.16,3.65,2.38,4.97,4.39,2.48,5.43,5.43,10.2,1.53,4.65
3.16,2.49,7.58,17.4,6.24,7.19,20.2,4.74,3.11,4.16,2.62,5.3,4.39,3.19,6.09,6.09,8.98,1.72,4.75
3.25,2.34,6.88,20.9,5.97,7.49,23.53,5.49,3.12,4.44,2.64,5.24,4.0,3.07,5.8,5.8,8.99,1.86,7.89
3.5,2.38,5.25,21.25,5.47,7.44,21.35,5.99,3.47,4.77,2.81,6.65,4.4,3.0,5.79,5.79,8.99,1.87,5.79
3.6,2.43,5.43,22.56,5.87,7.49,21.98,5.99,3.39,4.51,2.7,6.86,4.48,3.26,5.63,5.63,9.75,1.72,5.24
3.73,2.45,5.29,22.9,6.35,7.44,21.98,5.49,3.43,4.46,2.79,6.78,4.05,3.2,5.65,5.65,9.44,1.84,5.48
4.23,2.51,5.49,24.9,6.47,6.88,19.9,3.89,3.29,4.35,2.84,6.67,3.98,3.4,5.89,5.89,9.44,1.85,5.49
4.86,2.5,5.95,22.0,6.47,7.44,19.74,3.89,3.45,4.46,2.83,7.08,3.23,3.42,5.24,5.24,9.44,1.84,7.64
5.52,2.78,5.65,24.9,6.97,7.62,20.57,3.49,3.59,4.34,2.82,7.27,4.21,3.12,6.06,6.06,9.29,1.89,7.98
5.29,2.86,5.86,25.93,7.02,8.92,20.07,3.52,3.62,4.49,2.94,7.16,4.32,3.22,6.28,6.28,9.62,2.27,6.32
5.73,2.9,5.78,24.84,7.27,8.92,20.3,3.52,3.57,4.54,3.07,7.85,4.29,3.32,6.28,6.29,9.62,2.25,6.3
5.66,2.91,5.59,22.96,7.95,8.91,18.86,3.57,3.65,4.82,3.11,7.98,4.72,3.3,6.28,6.63,9.62,2.06,5.26
5.4,2.94,5.11,25.9,8.04,9.06,19.82,4.46,3.74,4.77,3.1,8.01,4.24,3.12,6.28,6.05,9.7,1.97,5.58
5.27,2.97,5.62,27.15,7.99,9.12,19.51,4.71,3.63,4.87,3.23,8.33,4.32,2.99,6.28,6.23,9.95,1.97,4.34
5.39,3.23,5.06,26.97,8.82,9.24,19.69,4.88,3.59,4.97,3.39,8.76,4.12,3.12,6.28,6.41,9.95,2.16,5.06
5.39,3.47,5.16,28.64,8.44,9.36,22.03,4.66,3.68,4.9,3.47,8.8,4.1,3.18,6.28,6.48,9.95,2.15,5.54
5.42,3.57,5.23,29.76,7.91,9.79,22.26,4.24,3.75,4.97,3.42,9.22,4.14,3.55,6.28,6.77,10.22,2.21,5.43
5.33,3.7,5.89,31.73,8.27,9.96,20.5,3.71,3.96,5.06,3.51,8.43,4.03,3.69,6.28,6.46,10.56,2.17,6.63
5.2,3.84,6.71,30.28,9.34,9.92,18.73,2.79,4.04,5.07,3.47,8.08,3.94,3.67,6.28,6.34,10.15,2.14,6.45
5.26,4.19,7.42,30.64,9.48,11.9,17.77,2.65,3.87,5.07,3.6,8.25,4.07,3.65,6.28,6.74,10.01,2.4,7.7
4.92,4.27,7.82,30.46,10.06,12.09,18.29,2.54,3.82,5.15,3.53,8.16,4.07,3.62,6.28,6.59,9.91,2.5,9.48
5.0,4.38,8.09,30.9,10.71,11.57,19.31,3.07,3.81,5.15,3.44,7.92,4.24,3.4,6.28,6.82,10.01,2.54,9.89
4.97,4.47,8.25,30.62,10.51,11.78,19.43,3.6,4.13,5.16,3.49,7.52,4.25,3.34,6.28,6.87,10.13,2.4,8.54
4.45,4.57,8.44,32.75,10.76,11.0,17.0,3.79,3.5,5.56,3.79,7.57,4.7,3.24,6.28,7.43,10.43,2.26,6.82
