12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
4.04,3.44,3.99,10.84,12.32,13.17,2.16,5.17,4.86,8.09,7.91,9.22,1.74,4.63,33.6,5.08,3.18,3.71,8.38,9.59,1.48,3.89
4.59,3.42,4.13,11.65,13.34,15.88,2.38,5.68,5.27,7.9,7.81,9.31,1.73,5.11,33.13,5.45,3.18,3.59,8.31,9.76,1.46,2.89
4.45,3.45,4.97,12.09,14.12,16.1,2.4,5.15,5.04,7.62,8.04,8.94,1.7,5.39,32.61,5.59,3.18,3.6,8.35,9.72,1.43,4.3
4.44,3.67,5.4,12.32,14.19,15.98,3.3,5.06,4.86,7.65,7.64,8.8,1.7,5.44,32.69,5.69,3.18,3.92,8.7,9.73,1.43,5.39
3.76,3.73,4.58,13.28,14.05,15.98,3.45,5.06,5.17,7.75,7.62,8.73,1.74,5.31,28.47,5.53,3.18,3.98,8.76,9.34,1.52,5.56
3.74,3.75,5.18,14.32,13.59,15.7,3.57,5.41,5.01,7.65,7.7,8.81,1.72,5.56,26.38,5.27,3.18,3.8,8.8,9.58,1.5,7.27
3.73,3.81,6.15,14.79,13.57,15.72,3.49,6.28,5.01,7.48,7.83,8.8,1.79,5.69,26.71,5.23,3.18,3.74,8.89,9.97,1.5,6.65
3.73,3.83,6.9,15.05,13.39,15.37,5.11,6.4,5.37,7.24,8.02,8.69,1.85,5.7,26.45,5.18,3.18,4.09,10.26,10.35,1.46,6.97
4.28,4.0,7.54,15.53,14.4,15.65,5.22,6.02,6.04,7.3,8.1,8.78,1.87,6.15,27.16,5.53,3.18,4.27,11.22,10.59,1.5,7.25
4.61,4.05,6.42,16.64,13.49,14.92,6.13,6.09,6.16,7.1,9.03,9.52,1.88,6.35,27.3,5.88,3.18,4.5,11.71,11.0,1.53,6.0
4.05,4.03,5.8,16.83,13.86,14.55,5.28,6.51,6.62,7.36,9.76,9.27,1.88,5.9,28.95,6.21,3.18,4.63,11.33,11.39,1.52,6.27
3.95,4.12,4.99,17.04,13.71,14.62,4.97,6.62,7.01,7.32,10.11,9.37,1.88,5.96,32.26,7.67,3.18,4.79,10.55,11.67,1.59,4.86
