115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
5.52,12.46,3.96,8.78,4.41,3.57,12.62,5.75,8.26,9.19,4.47,2.81,5.13,4.91,2.23,2.55,2.79,4.36,3.56,4.36,3.42,12.26,1.9,4.93
5.6,12.3,3.99,8.86,6.02,3.8,12.99,5.55,8.14,9.93,4.18,2.93,7.23,6.69,2.35,2.54,2.88,4.46,3.48,4.46,3.37,11.76,1.94,5.81
5.7,12.36,3.95,8.85,6.75,3.69,12.97,6.06,8.16,10.44,5.02,2.99,8.45,6.96,2.37,2.61,2.98,4.56,3.61,4.56,3.44,11.77,2.0,7.25
5.53,12.08,3.89,9.18,7.25,3.67,14.04,6.38,8.02,10.36,5.82,2.99,7.47,6.43,2.37,2.65,2.98,4.49,3.62,4.48,3.36,11.82,1.94,9.29
5.71,12.44,4.01,9.11,5.99,3.67,13.26,7.21,8.14,10.98,5.49,3.0,5.87,5.28,2.77,2.51,3.04,4.59,3.64,4.59,3.35,11.86,1.96,8.11
5.95,12.64,3.96,9.18,6.55,3.6,14.02,7.24,8.47,11.61,5.42,3.14,5.13,4.66,3.12,2.45,3.1,4.61,3.78,4.61,3.31,11.79,1.95,9.23
5.68,13.2,3.96,8.94,5.82,3.61,13.86,6.58,8.03,11.2,7.04,3.04,4.93,4.64,3.79,2.44,2.93,4.62,3.62,4.62,3.23,11.19,1.96,6.28
5.78,12.19,3.87,8.56,4.87,3.5,14.67,6.95,8.43,11.91,6.98,3.14,4.52,4.07,3.8,2.42,3.03,4.5,3.74,4.5,3.25,11.74,1.98,3.52
5.8,12.24,3.93,8.72,4.04,3.56,14.1,6.7,8.22,11.26,5.4,3.22,4.38,4.1,3.76,2.45,3.01,4.51,3.67,4.51,3.56,11.92,2.03,3.21
5.52,12.01,3.91,8.81,3.55,3.5,13.71,6.48,8.21,10.04,3.85,3.03,4.51,3.95,3.7,2.38,2.94,4.44,3.45,4.44,3.68,11.62,1.95,3.32
5.49,11.77,3.99,8.83,2.87,3.44,15.88,6.84,7.96,11.33,3.76,3.1,4.29,3.91,3.96,2.5,2.89,4.07,3.56,4.07,3.81,11.56,2.08,2.71
