257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279
2.92,1.98,3.81,4.09,11.38,10.9,5.64,6.82,11.3,3.73,2.29,3.22,2.61,1.23,2.09,10.3,2.83,2.21,2.21,3.59,7.99,0.86,2.82
2.95,2.05,3.92,4.08,11.59,10.9,5.31,6.79,11.3,3.4,2.32,3.49,2.36,1.19,2.09,9.45,2.61,2.44,2.44,3.5,7.99,0.95,2.61
2.89,2.04,4.62,4.2,11.34,10.9,5.41,6.84,11.3,3.44,2.38,3.58,2.41,1.19,2.09,9.5,2.58,2.46,2.46,3.57,7.99,0.89,2.83
2.89,2.04,5.05,4.11,10.9,11.22,5.94,6.97,11.3,3.58,2.4,3.41,2.48,1.18,2.09,9.64,2.69,2.48,2.48,3.5,7.99,0.85,4.22
2.97,2.08,4.88,4.1,11.12,11.9,6.25,7.21,11.3,3.15,2.34,3.0,2.45,1.15,2.09,9.97,3.04,2.55,2.55,3.52,7.99,0.89,5.93
3.04,2.12,4.81,4.09,11.49,11.9,6.47,7.57,11.3,2.86,2.39,2.59,2.39,1.15,2.09,10.24,3.38,2.59,2.59,3.59,7.99,0.92,5.69
2.97,2.12,4.95,4.05,11.07,10.26,6.87,7.96,11.3,3.53,2.42,2.41,2.49,1.15,2.09,10.43,3.32,2.52,2.52,3.61,7.99,0.89,5.28
2.96,2.17,4.49,4.03,10.9,10.61,6.91,7.95,11.3,4.52,2.46,2.32,2.55,1.08,2.09,10.02,3.31,2.67,2.67,3.53,7.99,0.89,3.99
2.89,2.0,3.56,3.89,10.9,10.9,6.73,8.41,11.3,4.99,2.49,2.38,2.45,1.15,2.09,9.75,3.37,2.68,2.68,3.48,7.97,0.95,3.13
2.88,2.09,3.58,3.8,10.86,10.87,6.41,7.88,11.3,4.45,2.35,2.5,2.48,1.11,2.09,9.46,3.24,2.67,2.67,3.48,7.98,0.91,2.72
2.87,2.12,3.51,3.67,10.85,10.89,6.09,7.55,13.13,3.56,2.27,2.61,2.55,1.07,2.09,9.38,3.18,2.66,2.66,3.53,8.15,0.88,2.15
2.95,2.02,3.05,3.49,10.93,11.35,6.19,7.7,13.75,3.23,2.45,2.79,2.69,1.15,2.09,9.79,3.34,2.69,2.69,3.79,8.26,0.84,1.98
2.98,2.15,3.24,3.74,12.5,12.25,6.64,7.55,14.5,2.66,2.36,2.64,2.69,1.19,2.09,10.32,3.3,2.58,2.58,4.01,8.5,0.86,2.21
3.13,2.2,3.64,3.92,14.12,13.54,6.6,7.4,14.7,2.13,2.6,2.59,2.64,1.27,2.09,9.8,3.04,2.69,2.69,4.23,8.5,0.86,3.14
3.2,2.22,4.14,3.94,14.28,15.17,6.99,7.21,14.12,2.47,2.43,2.7,2.68,1.23,2.09,10.5,3.2,2.7,2.7,4.16,9.03,0.81,4.26
3.18,2.24,4.83,3.91,14.52,15.76,6.72,7.05,13.47,2.91,2.39,2.7,2.78,1.18,2.09,10.35,3.32,2.75,2.75,4.25,9.23,0.88,4.99
