97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
3.76,3.7,5.14,13.06,5.37,5.99,10.27,3.38,4.68,3.05,4.57,5.33,7.98,2.93,4.83,3.28,13.7,5.01
3.94,4.61,4.88,13.61,5.75,5.52,11.27,3.89,4.45,2.97,6.4,5.78,7.99,2.58,4.72,3.55,13.29,4.64
3.7,4.23,4.31,11.99,5.15,4.94,11.72,3.89,4.84,2.51,7.99,6.82,8.0,2.61,4.49,3.35,12.43,3.98
3.82,4.65,4.57,12.62,5.52,4.99,11.59,4.89,4.02,2.79,6.47,5.74,8.0,2.82,4.47,3.15,12.0,6.69
3.98,4.77,4.53,13.56,5.89,5.6,13.38,4.27,4.25,3.71,5.32,5.25,8.0,2.88,4.44,3.38,12.11,5.92
3.59,4.57,4.77,13.49,5.57,5.39,13.09,3.72,4.17,3.07,4.34,5.04,8.0,2.84,4.09,3.14,12.88,5.89
3.97,3.77,4.47,11.85,5.23,5.02,11.82,4.48,5.65,3.34,3.86,4.49,8.02,2.79,4.43,3.34,13.0,5.05
3.79,3.17,4.52,13.93,5.64,5.65,11.58,5.33,4.4,3.18,4.11,4.6,8.0,3.08,4.61,3.29,13.45,2.26
3.66,3.44,4.7,12.64,5.46,5.58,11.06,4.08,4.26,3.31,3.57,4.74,8.0,2.95,4.47,3.37,13.0,3.03
3.87,3.29,4.59,12.75,4.82,5.5,11.21,2.61,4.74,3.32,4.14,4.85,8.0,3.0,4.41,3.49,13.0,3.48
4.04,2.46,4.65,12.23,5.35,6.47,11.73,2.79,3.69,3.17,4.49,4.81,8.0,2.87,4.37,3.64,12.76,2.89
4.04,3.08,4.62,13.8,5.96,6.29,13.32,2.34,3.79,3.66,4.99,4.77,8.0,2.77,5.37,3.74,12.09,2.65
3.59,3.21,5.02,16.43,6.68,7.34,14.07,1.9,3.97,2.97,5.76,5.48,8.0,2.77,6.02,3.78,14.3,4.4
3.97,2.41,4.63,12.99,6.06,6.44,10.53,1.87,4.22,2.92,5.78,4.83,8.0,2.83,4.94,3.81,12.08,4.72
3.77,2.73,4.97,14.34,6.28,6.19,12.72,2.59,3.59,3.09,5.66,4.94,8.0,2.77,4.47,3.76,12.0,4.3
4.1,2.96,4.97,14.0,5.99,5.09,11.01,3.85,3.85,3.22,6.39,5.5,8.0,2.96,4.68,3.64,10.32,5.11
4.05,4.95,4.74,12.92,5.45,5.28,10.63,6.34,3.75,3.25,6.56,6.5,8.0,3.05,6.23,3.78,10.42,4.12
