366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390
4.51,2.7,2.05,3.92,5.95,6.13,11.05,3.52,2.13,2.72,2.69,3.08,3.48,5.6,4.36,5.01,0.95,2.74,7.73,2.8,2.07,2.07,3.35,10.41,0.96
4.22,2.75,2.07,4.04,5.83,5.97,10.89,3.28,2.02,2.42,2.61,3.15,4.36,8.56,7.07,6.84,0.88,2.7,8.07,2.53,2.26,2.26,3.29,10.52,1.12
4.21,2.68,2.12,4.01,5.69,6.38,10.66,3.29,2.0,2.49,2.52,3.02,4.54,8.18,6.77,7.39,0.98,2.7,7.79,2.69,2.11,2.11,3.34,10.44,1.17
4.34,2.54,2.12,3.95,6.32,6.43,12.18,3.73,2.03,2.57,2.5,3.13,4.74,7.39,5.78,7.08,0.89,2.5,7.84,3.01,2.3,2.3,3.32,10.49,1.09
4.3,2.63,2.09,3.85,6.43,6.73,11.44,2.76,2.17,2.59,2.62,3.23,4.68,6.45,5.51,6.55,0.89,2.35,8.13,3.45,2.39,2.39,3.35,10.57,1.11
4.27,2.78,2.24,3.9,6.71,6.87,11.81,3.49,2.09,2.44,2.61,3.17,4.53,5.45,4.63,6.03,0.94,2.44,8.26,3.51,2.34,2.34,3.29,11.03,1.09
4.27,2.7,2.23,3.89,6.92,7.33,11.52,5.14,2.0,2.68,2.59,3.26,4.08,5.19,3.95,5.74,0.94,2.7,8.1,3.47,2.34,2.34,3.24,12.04,1.12
4.27,2.78,2.19,3.97,6.72,7.19,12.36,5.45,1.91,2.42,2.6,3.33,3.95,4.77,3.9,5.24,0.97,2.7,7.3,3.35,2.51,2.51,3.46,11.3,1.13
4.31,2.7,2.16,3.83,6.41,7.11,12.64,4.46,1.94,2.52,2.52,3.22,4.01,4.81,3.91,4.94,0.96,2.44,8.08,3.44,2.53,2.53,3.69,10.99,1.11
3.97,2.77,2.1,3.66,6.62,6.84,12.37,3.18,2.0,2.57,2.62,3.25,3.9,4.51,3.89,5.21,0.94,2.35,7.83,3.36,2.6,2.6,3.8,10.08,1.1
3.95,2.76,2.06,3.76,6.84,6.77,13.32,2.42,1.88,2.37,2.67,3.27,4.14,4.74,4.0,5.04,0.93,2.35,8.02,3.4,2.55,2.55,3.77,10.05,1.09
3.99,2.8,2.09,3.77,6.87,7.59,13.87,2.01,1.94,2.34,2.65,3.36,4.5,6.48,5.53,5.38,0.96,2.35,7.79,3.43,2.56,2.56,3.86,11.88,1.09
3.94,2.76,2.18,3.79,7.02,7.39,14.06,1.98,1.89,2.44,2.66,3.07,4.86,5.97,5.11,5.2,1.09,2.34,8.98,3.34,2.22,2.22,4.06,12.24,1.13
3.87,2.85,2.28,3.68,6.83,7.05,13.7,2.13,1.85,2.73,2.65,3.3,5.11,5.74,4.74,5.11,1.0,2.35,8.07,3.24,2.36,2.36,4.06,12.14,1.05
3.95,2.91,2.26,3.89,6.95,7.13,14.81,2.75,1.92,2.68,2.74,3.41,5.28,6.06,4.72,5.26,0.96,2.35,8.21,3.43,2.66,2.64,4.04,12.53,1.11
3.97,3.73,2.68,4.08,7.08,6.51,14.74,4.62,1.96,2.72,2.83,3.26,5.89,7.11,6.35,6.06,1.14,2.37,9.3,3.49,2.39,2.39,4.16,13.0,1.24
3.97,3.38,2.69,4.56,7.5,7.09,12.32,6.16,2.53,2.81,2.94,2.89,5.76,7.6,7.36,6.5,1.28,2.35,10.88,3.33,2.43,2.43,4.07,12.96,1.02
4.21,3.71,2.45,3.96,7.41,6.69,12.24,6.48,3.21,3.16,3.27,3.32,6.8,7.94,7.33,7.15,1.19,2.35,9.93,3.7,2.2,2.2,4.18,12.99,1.35
4.22,3.68,2.59,4.44,7.01,5.92,10.91,5.76,3.26,3.08,3.26,3.38,7.07,7.27,6.44,7.1,1.28,2.35,10.97,4.17,2.31,2.31,4.25,12.84,1.53
4.25,3.83,2.84,3.78,7.83,7.05,12.59,3.93,3.0,2.86,3.17,3.42,7.18,7.96,7.23,7.64,1.23,2.35,11.93,4.26,2.16,2.15,4.95,12.32,1.37
4.24,4.34,2.87,4.32,7.53,6.53,16.42,3.1,2.46,3.3,3.63,3.89,6.62,7.5,6.97,7.41,1.3,2.35,12.95,5.02,2.55,2.55,6.52,11.1,1.27
4.07,4.94,3.06,4.86,8.22,6.56,19.02,2.46,2.63,3.93,4.08,4.15,6.96,7.25,6.65,7.94,1.27,2.5,13.27,5.16,3.04,3.04,7.8,11.64,1.24
4.03,5.01,3.17,4.96,8.23,6.26,18.43,2.77,3.12,4.49,4.14,4.42,7.32,7.04,6.52,7.82,1.34,2.63,12.92,5.07,2.55,2.56,8.47,11.55,1.33
4.68,5.43,3.39,4.82,8.79,6.67,20.74,2.64,2.79,4.83,3.99,4.13,7.41,7.28,6.5,7.99,1.4,2.75,14.26,5.07,2.55,2.85,8.85,10.14,1.13
4.99,5.48,3.27,4.6,8.63,6.96,21.98,3.34,2.73,4.53,4.24,4.28,7.23,7.63,7.32,8.24,1.36,2.63,15.15,4.77,2.55,3.28,8.48,9.87,1.06
