489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512
16.7,2.29,3.34,3.34,9.41,15.38,13.89,5.99,12.18,3.29,8.03,8.03,4.21,5.46,5.16,3.45,3.89,12.5,3.06,5.49,3.48,11.99,2.07,6.52
15.92,2.19,4.74,4.74,9.46,15.14,15.23,5.99,11.77,3.64,8.2,8.2,4.47,8.49,6.02,3.23,4.07,12.36,2.99,5.65,3.44,11.45,2.15,7.37
16.4,2.25,4.79,4.79,9.65,14.97,14.79,6.39,10.99,3.73,8.29,8.29,4.17,7.95,6.37,3.41,4.03,11.93,2.79,5.47,3.49,11.79,2.03,6.82
15.85,1.98,5.96,5.96,9.5,14.18,12.99,6.34,12.9,3.96,8.99,8.99,3.74,8.66,6.97,3.17,4.32,13.48,3.06,5.97,3.36,11.9,2.0,8.99
16.14,1.99,5.99,5.99,9.34,14.88,13.9,6.69,13.1,3.49,7.11,7.11,4.04,7.83,6.74,3.47,4.09,12.17,2.89,5.71,3.24,11.99,1.94,7.99
16.32,1.99,5.81,5.81,9.21,14.99,13.9,6.55,13.1,3.93,7.53,7.53,3.86,5.56,5.74,3.14,4.07,12.34,3.38,5.26,3.39,11.99,1.98,7.18
17.44,2.12,5.74,5.74,8.98,15.52,11.24,6.56,13.1,3.96,8.09,8.09,4.17,5.23,5.51,3.21,4.48,12.14,3.32,5.04,3.25,11.99,2.02,8.34
15.76,2.39,4.98,4.98,9.66,16.45,13.99,7.44,11.59,4.02,7.48,7.48,3.89,4.99,4.66,3.27,4.47,12.66,2.89,5.58,3.29,12.49,2.39,3.59
14.53,2.29,4.59,4.59,9.58,16.7,13.55,7.47,11.85,3.73,7.67,7.67,3.69,4.67,4.64,3.29,4.45,13.53,2.98,5.23,3.47,12.29,2.27,3.89
16.75,2.54,3.09,3.09,9.44,15.03,12.25,6.09,11.59,4.04,7.24,7.24,4.37,4.87,5.05,2.76,4.39,11.45,3.2,5.18,3.48,11.95,1.93,3.51
16.45,2.29,3.19,3.19,8.77,15.47,13.35,6.69,12.71,4.34,6.55,6.55,4.1,4.49,5.45,2.59,4.49,10.95,3.44,5.28,3.69,12.9,1.87,3.77
17.75,2.57,4.24,4.24,9.36,17.01,11.85,6.99,14.39,4.44,7.19,7.19,4.42,7.26,6.33,3.17,4.47,11.02,3.19,5.51,3.76,13.6,1.97,4.53
17.46,2.5,4.49,4.49,9.48,17.86,12.83,7.14,14.49,4.46,6.54,6.54,4.23,6.22,6.16,3.12,4.29,11.3,3.28,5.25,3.69,12.99,2.13,4.44
17.39,2.62,5.59,5.59,9.07,18.15,14.63,7.05,14.67,4.31,6.44,6.44,4.32,6.08,5.93,2.89,4.1,10.95,3.03,5.66,3.91,13.99,1.95,5.59
17.03,2.44,4.85,4.85,9.16,19.79,16.33,6.97,14.49,4.54,6.46,6.46,4.41,6.81,6.5,3.29,4.45,12.02,3.32,5.87,4.22,14.99,2.08,8.84
18.34,2.62,4.62,4.62,9.56,19.05,16.05,6.02,14.49,4.21,6.32,6.32,4.97,8.26,7.29,3.19,4.49,11.86,3.72,5.75,4.13,14.99,2.08,7.17
18.55,2.38,7.24,7.24,11.21,17.85,17.69,5.67,10.49,3.95,6.22,6.22,4.93,9.16,7.63,3.16,4.41,12.82,3.75,6.01,4.17,13.95,2.24,6.49
19.26,2.38,5.24,5.24,10.73,17.44,18.13,5.48,10.99,4.19,6.03,6.03,4.92,7.48,8.3,3.19,4.84,12.23,3.49,5.36,4.26,14.85,2.22,5.66
18.99,2.54,2.99,2.99,9.09,17.95,19.99,6.34,12.99,4.06,6.98,6.98,4.99,8.48,7.16,3.12,4.09,10.99,3.76,5.51,4.02,13.16,2.04,3.74
21.19,2.52,3.6,3.6,9.62,21.57,19.99,6.94,14.22,4.24,6.69,6.69,4.56,8.44,7.88,3.16,4.29,11.74,4.11,5.79,4.81,14.9,2.2,6.59
