167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
20.39,4.28,4.21,20.59,7.98,17.71,3.08,4.86,4.86,6.14,6.76,7.63,1.98,5.01,9.83,3.29,14.6,0.89
20.6,4.24,4.05,20.94,8.12,17.55,3.29,4.79,4.79,6.46,7.36,8.09,1.94,5.19,10.86,3.1,14.99,0.87
20.27,4.19,4.05,20.9,8.32,16.7,3.47,4.96,4.95,6.34,7.8,7.76,1.98,5.53,10.85,3.19,15.24,0.92
19.4,4.03,4.05,20.79,8.23,21.69,3.15,5.19,5.19,6.37,8.72,7.26,2.07,7.09,10.31,3.19,16.4,1.16
19.72,4.16,4.05,20.71,8.28,20.61,3.08,5.67,5.67,5.3,8.55,7.22,2.01,8.08,10.32,3.19,17.7,1.11
19.92,4.16,4.05,20.29,7.96,20.27,2.91,5.12,5.12,5.65,8.15,6.93,2.01,7.98,9.8,3.09,18.34,1.3
19.64,3.92,4.05,20.09,8.06,21.08,3.17,5.37,5.37,6.36,8.01,6.82,2.04,6.98,8.18,2.03,18.99,1.37
19.66,3.86,3.64,19.64,7.93,20.97,3.07,5.89,5.85,5.47,7.44,6.25,2.03,6.63,8.31,3.19,18.99,1.28
19.69,3.95,3.64,19.19,7.69,19.82,2.71,6.17,6.17,4.58,7.51,6.43,2.0,6.03,8.49,3.14,19.63,1.42
21.03,4.22,3.64,18.66,7.74,16.36,2.49,7.3,7.3,5.93,7.57,6.43,2.01,5.98,8.72,3.11,19.93,1.46
21.88,4.61,3.64,19.1,7.61,17.89,2.38,7.43,7.42,6.28,8.04,6.94,1.92,5.51,8.81,3.19,19.9,1.36
24.76,5.0,3.64,18.84,8.16,17.1,2.19,7.31,7.35,5.93,8.09,7.34,1.91,5.62,8.78,3.13,19.9,1.2
22.88,4.57,3.64,19.02,7.29,17.77,5.59,7.88,7.88,6.04,8.67,7.66,2.01,5.79,8.03,3.22,18.94,1.28
23.66,4.77,3.64,19.49,7.85,17.35,5.59,7.76,7.76,6.31,8.96,7.74,2.06,6.22,7.47,3.17,19.9,1.28
23.29,4.82,3.64,20.67,7.67,16.06,5.09,7.6,7.6,6.15,9.39,7.71,2.04,6.05,7.2,3.21,19.9,1.29
22.1,4.41,3.64,20.9,7.31,16.12,5.09,6.84,6.84,7.35,9.3,8.04,1.99,5.69,6.49,3.28,19.9,1.52
23.46,4.65,3.64,19.74,7.49,15.22,4.99,6.79,6.8,6.41,8.18,7.29,2.05,5.93,6.35,3.17,19.95,1.48
22.85,4.62,3.64,19.76,7.26,15.64,4.96,6.98,6.98,5.37,7.18,6.99,2.0,5.68,6.15,3.19,19.9,1.57
24.19,4.8,3.64,19.93,7.21,16.38,5.33,7.47,6.86,5.0,6.38,7.03,2.04,5.68,6.13,3.13,19.9,1.55
25.02,5.06,3.64,19.55,7.22,15.37,4.63,7.47,6.46,5.05,6.05,6.87,1.86,5.01,6.06,3.1,17.97,1.37
25.58,5.44,3.64,19.02,6.8,15.37,4.94,7.47,6.24,5.35,5.94,7.19,1.73,4.9,6.19,3.13,15.99,1.26
28.54,5.99,3.64,19.02,6.89,15.37,5.55,7.47,6.21,6.36,7.33,8.59,1.82,5.11,6.19,3.13,15.99,1.62
