23.55,21.46,11.25,13.16,14.96,6.42,8.96,4.93,8.92,6.69,12.99,6.93,9.64,8.41,16.63,4.82
23.62,21.58,11.04,13.03,14.9,6.24,9.21,4.89,8.89,6.86,12.99,6.16,10.07,7.96,17.08,5.23
22.05,21.47,10.98,13.23,15.86,6.34,9.02,4.9,8.6,6.87,12.99,6.13,10.4,7.69,17.22,6.24
22.02,20.72,11.9,12.89,14.91,8.81,10.27,5.01,8.33,6.95,12.99,5.97,10.37,7.91,17.03,6.55
21.8,20.41,12.75,13.64,14.97,7.48,11.29,5.05,8.08,6.86,12.99,5.33,9.5,8.04,15.76,6.4
23.71,21.87,12.29,13.53,15.41,5.34,11.6,5.23,9.49,7.91,12.99,5.09,10.18,8.16,17.49,7.17
22.77,20.53,12.49,13.42,14.89,5.23,11.52,4.96,9.29,8.4,12.99,5.38,8.5,7.75,17.14,5.67
24.04,19.21,11.13,12.98,15.34,5.78,10.36,5.34,10.53,9.46,12.99,5.79,10.29,7.34,19.42,7.74
25.32,20.61,10.47,12.98,15.08,5.27,12.43,5.32,10.7,9.4,12.99,5.85,10.65,7.06,18.86,8.59
24.79,19.91,10.79,13.07,15.17,5.29,12.04,5.49,11.18,9.71,12.99,5.9,10.39,6.82,19.41,8.97
25.79,20.12,10.11,12.75,14.68,4.79,13.8,5.08,10.31,9.31,12.99,5.89,10.93,5.93,18.36,9.25
24.88,19.34,11.45,12.98,14.57,5.26,13.75,5.01,9.63,9.59,12.99,5.87,10.79,5.91,18.09,9.49
23.19,13.84,8.92,12.98,9.96,5.31,13.93,4.69,7.38,8.97,12.99,5.2,10.05,5.71,19.01,7.6
25.01,13.94,8.55,12.98,10.14,4.96,13.59,4.7,7.7,7.41,12.99,5.37,10.25,5.67,19.28,7.66
24.68,12.47,8.35,12.98,9.99,4.96,12.65,4.73,7.38,7.01,12.99,5.3,10.1,5.56,18.92,7.66
24.75,12.47,8.35,12.98,9.99,4.96,11.97,4.66,5.77,6.79,12.99,5.25,9.64,5.4,18.92,7.66
25.41,12.47,8.35,12.98,9.99,4.96,11.08,4.63,6.7,7.5,12.99,5.19,9.84,5.35,19.15,7.66
