445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460
2.74,1.97,2.79,9.95,6.25,8.65,3.5,6.36,2.76,6.31,5.25,2.5,3.24,3.24,9.95,3.04
2.65,2.17,3.49,9.95,5.61,8.83,3.01,5.79,2.69,9.48,6.69,2.41,2.87,3.22,10.17,5.22
2.85,2.34,4.38,9.4,6.83,9.7,3.44,5.6,2.77,9.74,6.11,2.38,3.12,3.17,10.42,6.63
2.57,2.37,4.95,9.59,6.77,9.33,3.71,5.76,2.65,8.23,5.61,2.51,3.07,3.11,10.43,7.34
2.72,2.23,4.4,9.01,7.22,9.7,3.75,5.71,2.74,7.89,5.21,2.65,3.09,3.09,10.17,5.24
2.81,2.21,5.0,9.34,7.12,11.12,4.37,5.38,2.64,6.46,5.34,2.44,2.89,3.17,10.17,7.46
2.71,2.22,3.94,9.06,7.32,10.22,5.69,5.69,2.93,7.16,4.81,2.43,2.73,3.04,10.45,4.97
2.26,2.1,3.83,8.85,7.1,10.47,5.98,5.46,2.92,6.15,4.86,2.51,2.69,3.07,9.9,4.49
2.8,2.4,2.94,8.71,7.42,11.94,3.74,5.16,2.85,6.42,5.03,2.43,2.83,3.36,10.95,3.99
2.74,2.42,2.89,8.87,6.7,12.85,3.44,5.59,2.93,6.35,4.76,2.39,2.62,3.54,10.95,3.06
2.71,2.35,2.84,8.8,7.16,12.61,2.86,6.11,2.82,7.22,4.93,2.42,2.78,3.57,10.95,3.41
2.76,2.4,2.61,8.5,7.63,12.22,1.79,5.97,2.8,8.49,5.24,2.57,2.63,3.75,10.95,5.36
2.8,2.68,3.22,8.94,7.27,14.47,1.76,5.46,2.92,7.63,4.83,2.5,3.14,3.92,10.95,4.26
2.97,2.44,2.79,8.44,7.36,12.22,2.19,6.11,2.76,8.31,5.08,2.52,2.77,3.94,10.95,4.86
2.94,2.23,2.79,7.8,7.97,10.46,3.55,5.1,2.96,6.29,4.52,2.49,2.59,4.15,9.99,5.15
3.15,2.39,5.03,8.03,6.41,12.48,5.74,4.91,2.86,10.2,6.79,2.94,2.93,3.88,9.9,6.13
3.23,2.45,5.99,9.64,7.32,12.08,5.99,5.71,3.09,9.34,6.57,3.07,2.66,4.07,9.99,4.99
3.17,2.17,5.89,8.63,9.35,11.37,5.99,6.13,2.9,10.09,7.9,3.23,3.07,4.11,9.99,3.14
3.42,2.55,3.99,8.41,7.83,11.5,5.85,5.61,3.31,9.88,6.92,3.18,3.44,4.32,8.99,3.75
3.9,2.67,3.19,8.66,7.62,16.57,4.49,5.84,3.32,10.05,8.01,3.29,3.17,5.74,10.5,4.55
4.67,2.38,2.89,9.25,8.49,17.59,3.65,6.18,3.57,9.65,8.01,3.81,2.49,6.24,11.99,5.29
5.37,2.74,4.26,9.35,7.63,18.95,2.84,5.06,3.37,9.87,8.72,3.21,2.67,7.54,10.95,7.01
5.37,2.89,5.49,8.63,8.49,19.54,3.24,5.12,3.27,8.61,7.64,3.13,2.67,7.65,10.39,7.89
5.45,3.08,4.17,9.12,7.74,17.32,3.39,4.99,3.37,9.99,9.39,3.65,3.2,7.8,10.97,5.14
5.45,3.2,4.92,9.36,6.55,17.72,3.54,5.03,3.34,9.21,8.78,3.44,3.09,7.8,10.77,5.93
