513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536
14.5,4.12,2.5,4.09,17.5,13.99,5.99,10.79,4.49,3.69,4.5,3.49,4.59,6.79,1.6,3.05,9.59,3.39,2.88,2.88,3.6,11.99,2.25,2.2
13.99,4.29,2.5,4.49,18.99,13.99,5.49,10.79,4.49,3.79,4.05,3.5,4.39,7.45,1.6,3.2,8.9,3.39,2.88,2.88,3.89,11.99,2.1,2.2
13.3,4.32,2.5,4.52,19.35,13.5,5.3,10.5,4.7,3.7,4.0,3.33,4.45,7.5,1.65,3.36,8.9,3.2,2.8,2.8,3.56,11.9,2.1,5.95
13.79,3.99,2.5,4.19,19.35,13.5,5.39,10.5,4.49,3.79,3.79,3.1,4.45,7.0,1.53,3.2,8.9,3.3,2.79,2.79,3.49,11.9,2.1,6.9
13.5,4.16,4.99,3.99,18.5,13.7,6.2,10.65,4.1,3.69,3.79,3.29,4.65,6.59,1.56,2.98,8.9,3.3,2.85,2.85,3.49,11.95,2.15,6.5
13.4,3.88,4.99,3.99,18.5,13.7,6.29,10.65,4.49,3.47,3.65,3.2,4.59,6.2,1.49,2.69,9.59,3.3,2.79,2.79,3.49,11.99,2.15,4.8
12.85,3.89,3.89,3.65,18.5,14.99,6.25,10.65,3.99,3.47,3.84,3.49,4.99,5.58,1.4,2.58,9.19,3.1,2.59,2.59,3.29,11.99,2.3,3.49
13.0,3.69,4.1,3.99,18.5,14.09,5.79,10.65,4.25,3.59,3.84,3.39,4.56,5.1,1.4,2.39,8.79,3.3,2.59,2.59,3.38,11.99,2.1,2.49
13.8,3.69,3.59,4.25,19.0,15.0,5.29,10.65,3.95,3.47,3.65,3.29,4.19,5.3,1.39,2.19,9.19,3.29,2.49,2.49,3.45,11.99,2.1,3.49
13.9,3.69,2.49,3.89,19.0,15.0,5.8,10.65,2.69,3.39,3.39,3.29,3.78,4.8,1.39,2.05,10.09,3.15,2.59,2.59,3.54,11.99,2.18,1.99
14.29,3.88,3.49,3.69,19.0,16.99,6.29,13.99,3.49,3.15,3.7,3.49,4.15,5.15,1.39,2.19,10.9,3.1,2.79,2.79,3.84,11.99,2.28,3.99
14.2,3.8,3.19,3.69,19.0,16.99,6.3,13.99,3.51,3.1,3.7,3.45,4.46,4.99,1.45,2.21,11.0,3.15,2.84,2.84,3.8,11.9,2.26,3.99
14.5,4.15,3.49,3.39,19.0,16.99,6.9,13.99,3.8,2.89,3.39,3.4,4.1,5.45,1.35,1.99,10.5,2.99,2.79,2.79,3.9,11.99,2.46,3.69
14.5,4.19,3.25,3.59,19.0,16.99,6.99,14.99,3.59,3.09,3.4,3.6,4.39,4.98,1.39,1.9,10.5,3.16,2.59,2.59,3.99,11.99,2.39,3.99
14.9,4.19,4.5,3.65,19.0,16.99,6.99,14.99,5.3,2.99,3.35,3.5,4.39,6.49,1.39,1.95,10.5,3.16,2.5,2.5,3.99,11.99,2.59,4.99
17.89,5.38,5.8,4.64,19.0,16.99,6.99,14.99,5.99,3.2,3.5,4.69,4.99,8.99,1.99,1.99,10.5,3.49,3.49,3.49,3.99,11.99,2.79,5.99
