52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
4.33,3.6,5.39,9.56,9.98,8.62,5.58,5.87,6.03,7.65,6.81,5.88,8.23,10.17,4.76
4.34,3.46,4.6,9.21,9.65,10.07,5.32,5.2,5.35,7.47,6.54,5.34,8.79,10.52,5.74
4.88,3.53,6.7,9.17,9.82,7.85,5.78,5.67,5.66,8.19,7.14,4.96,8.68,11.48,7.13
4.59,3.6,5.87,8.92,8.85,6.65,5.96,5.36,6.46,8.15,7.66,4.84,7.96,10.15,7.58
4.6,3.37,5.55,7.96,8.53,5.89,6.36,5.23,6.49,8.78,8.01,4.93,7.48,10.49,6.84
4.9,3.54,5.93,8.01,8.56,5.98,6.86,5.24,6.63,9.14,8.2,5.19,7.33,10.73,6.97
4.65,3.87,5.36,8.04,8.76,5.9,6.63,5.12,6.43,9.18,8.26,5.19,6.38,11.49,8.09
4.55,3.89,5.41,7.76,8.19,6.07,6.5,4.94,6.23,8.16,7.96,4.92,5.99,10.56,8.15
4.48,3.76,5.8,7.32,7.64,5.17,5.75,4.76,5.75,7.14,7.25,4.77,5.83,9.94,9.5
4.47,3.67,5.38,6.98,7.55,5.18,5.41,4.47,5.82,6.27,6.96,4.65,6.04,10.16,7.89
4.73,3.5,4.42,7.01,8.33,4.71,4.99,4.4,5.28,5.45,6.79,4.57,6.21,10.14,8.27
5.21,3.71,4.42,7.27,8.49,4.15,4.46,4.39,5.53,5.32,6.92,4.6,5.93,9.56,7.59
5.15,3.95,4.42,8.04,8.49,4.15,4.72,4.44,5.6,5.48,6.96,4.48,6.13,9.32,7.59
5.56,3.84,4.42,8.51,8.49,4.15,4.95,4.43,5.62,6.83,8.36,4.3,6.36,9.67,7.59
