Produto/Unidade,Nível de Comercialização,U.F.,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021
ARROZ LONGO FINO BENEFICIADO TIPO 1 (25 kg),ATACADO,AC,"122,73","123,00","123,92","123,09","123,00","123,00","122,09","121,75","121,36","119,10","117,88","114,24"
AÇÚCAR CRISTAL (kg),ATACADO,AC,"2,72","2,72","2,74","2,88","2,90","2,90","2,96","3,01","3,19","3,23","3,34","3,38"
CAFÉ MOÍDO E TORRADO (5 kg),ATACADO,AC,"97,84","97,64","98,00","98,14","98,58","98,10","98,23","98,38","98,51","98,63","98,76","98,84"
CARNE BOVINA DIANTEIRO COM OSSO (25 - 30 kg),ATACADO,AC,"263,51","263,85","266,63","267,82","267,95","268,49","272,50","275,50","277,41","277,52","276,00","277,00"
CARNE DE FRANGO CONGELADO (20 kg),ATACADO,AC,"123,06","123,49","124,04","124,46","124,74","125,43","129,00","132,25","133,41","133,52","132,00","132,87"
CARNE SUÍNA CONGELADO PERNIL COM OSSO (12 kg),ATACADO,AC,"135,00","135,83","137,81","139,03","139,59","140,66","142,82","144,50","145,00","145,00","145,00","145,87"
FARINHA DE MANDIOCA SECA MÉDIA AMARELO (A) (10 kg),ATACADO,AC,"34,57","34,56","34,47","34,45","34,43","34,77","37,48","38,63","39,50","39,51","39,56","39,40"
FARINHA DE MANDIOCA SECA MÉDIA BRANCO (A) (10 kg),ATACADO,AC,"35,13","35,01","34,84","34,89","34,74","35,13","37,98","38,68","39,00","39,00","39,00","38,84"
FARINHA DE TRIGO ENRIQUECIDA TIPO 1 (kg),ATACADO,AC,"4,21","4,31","4,33","4,37","4,35","4,36","4,34","4,37","4,38","4,38","4,40","4,43"
FEIJÃO COMUM CORES TIPO 1 (30 kg),ATACADO,AC,"156,12","156,63","158,48","160,00","160,00","161,25","163,18","163,50","165,00","165,00","165,00","165,00"
FLOCOS DE MILHO ENRIQUECIDO (kg),ATACADO,AC,"4,63","4,53","4,41","4,32","4,33","4,35","4,36","4,36","4,39","4,39","4,40","4,43"
FLOCOS DE MILHO PRE-COZIDO (kg),ATACADO,AC,"4,63","4,53","4,41","4,32","4,33","4,35","4,36","4,36","4,39","4,39","4,40","4,43"
FUBÁ DE MILHO COMUM AMARELO (500 g),ATACADO,AC,"3,33","3,35","3,31","3,30","3,35","3,35","3,34","3,37","3,40","3,40","3,44","3,49"
LEITE DE VACA EM PÓ INTEGRAL (400 g),ATACADO,AC,"10,59","10,75","10,85","10,94","10,98","11,19","11,36","11,54","11,65","11,70","11,76","11,85"
LEITE DE VACA LONGA VIDA INTEGRAL (12 l),ATACADO,AC,"48,56","48,56","48,73","48,89","48,95","49,49","51,34","52,00","52,00","52,48","54,00","54,08"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (5 kg),ATACADO,AC,"26,51","26,52","26,67","26,76","26,85","26,98","26,70","26,83","26,85","26,90","27,03","27,25"
MILHO EM GRÃOS (50 kg),ATACADO,AC,"75,00","75,00","76,35","77,00","75,25","67,55","67,00","67,00","67,00","67,00","67,27","80,65"
OLEO DE SOJA REFINADO (20 un),ATACADO,AC,"159,50","159,00","154,17","152,00","154,10","161,18","162,86","163,32","164,00","166,14","177,09","182,13"
OVOS DE GALINHA GRANDE BRANCO (10 dz),ATACADO,AC,"60,32","60,84","61,63","62,39","62,89","64,30","67,95","70,00","72,00","72,00","72,00","71,57"
ABACAXI PÉROLA (un),PRODUTOR,AC,"3,02","3,06","3,08","3,15","3,18","3,30","3,41","3,47","3,46","3,39","3,22","3,01"
AÇAÍ FRUTO (kg),PRODUTOR,AC,,"1,25","1,21","1,21","1,21","1,16","1,15","1,15","1,17","1,19","1,18","1,17"
BANANA PRATA (20 kg),PRODUTOR,AC,"30,41","31,00","32,44","33,42","33,50","34,09","34,50","34,50","34,14","30,83","30,18","29,50"
BATATA-DOCE (kg),PRODUTOR,AC,"1,70","1,70","1,74","1,70","1,70","1,71","1,72","1,71","1,66","1,73","1,75","1,73"
BOI GORDO (15 kg),PRODUTOR,AC,"252,38","255,00","263,48","274,55","279,52","283,45","288,48","290,73","293,00","287,05","272,00","274,83"
