Produto/Unidade,Nível de Comercialização,U.F.,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020
ARROZ LONGO FINO BENEFICIADO TIPO 1 (25 kg),ATACADO,AC,"70,65","71,00","71,00","71,64","72,00","72,00","72,52","72,75","81,95","105,68","120,00","122,50"
AÇÚCAR CRISTAL (kg),ATACADO,AC,,,,,,,,,,,"2,66","2,68"
CAFÉ MOÍDO E TORRADO (5 kg),ATACADO,AC,"95,33","95,56","96,06","96,78","96,76","96,89","97,05","97,31","97,24","97,52","97,68","97,79"
CARNE BOVINA DIANTEIRO COM OSSO (25 - 30 kg),ATACADO,AC,"231,98","234,30","235,06","236,86","237,06","237,18","237,76","237,89","242,17","252,50","259,25","262,93"
CARNE DE FRANGO CONGELADO (20 kg),ATACADO,AC,"112,52","114,55","114,71","116,32","119,43","120,14","120,74","121,33","121,69","121,91","121,98","122,73"
CARNE SUÍNA CONGELADO PERNIL COM OSSO (12 kg),ATACADO,AC,"128,52","129,00","129,11","131,14","133,25","132,52","132,05","132,40","132,69","133,06","133,54","134,54"
FARINHA DE MANDIOCA SECA MÉDIA AMARELO (A) (10 kg),ATACADO,AC,"29,81","30,06","30,48","31,55","32,30","32,23","33,02","33,00","33,21","32,98","33,95","35,05"
FARINHA DE MANDIOCA SECA MÉDIA BRANCO (A) (10 kg),ATACADO,AC,"32,56","33,24","33,45","34,20","34,42","33,51","33,62","33,78","33,82","33,54","34,55","35,21"
FARINHA DE TRIGO ENRIQUECIDA TIPO 1 (kg),ATACADO,AC,,,,,,,,,,,"4,20","4,23"
FEIJÃO COMUM CORES TIPO 1 (30 kg),ATACADO,AC,"144,13","144,25","143,28","151,86","160,38","160,13","155,48","151,50","150,59","150,55","154,57","156,22"
FLOCOS DE MILHO ENRIQUECIDO (kg),ATACADO,AC,,,,,,,,,,,"4,68","4,71"
FLOCOS DE MILHO PRE-COZIDO (kg),ATACADO,AC,,,,,,,,,,,"4,68","4,71"
FUBÁ DE MILHO COMUM AMARELO (500 g),ATACADO,AC,,,,,,,,,,,"3,25","3,30"
LEITE DE VACA EM PÓ INTEGRAL (400 g),ATACADO,AC,,,,,,,,,,,"10,15","10,51"
LEITE DE VACA LONGA VIDA INTEGRAL (12 l),ATACADO,AC,"44,12","44,56","44,56","46,48","46,92","46,96","47,21","47,45","47,60","48,41","48,65","48,81"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (5 kg),ATACADO,AC,"27,01","26,73","27,44","27,96","27,49","26,92","27,30","28,09","28,42","28,66","27,46","26,42"
MILHO EM GRÃOS (50 kg),ATACADO,AC,,,,,,,"50,00","50,00","50,00","51,14","73,00","75,00"
OLEO DE SOJA REFINADO (20 un),ATACADO,AC,"70,59","71,50","72,00","73,50","75,43","76,15","77,63","78,60","90,09","116,82","147,69","159,46"
OVOS DE GALINHA GRANDE BRANCO (10 dz),ATACADO,AC,"43,85","44,00","44,06","60,93","68,29","68,13","65,76","62,38","62,31","60,18","60,44","60,41"
ABACAXI PÉROLA (t),PRODUTOR,AC,"1.810,00",,,,,,,,,,,
ABACAXI PÉROLA (un),PRODUTOR,AC,"3,25","3,18","3,10","3,23","3,10","2,89","2,94","3,05","3,27","3,28","3,16","3,04"
AÇAÍ FRUTO (kg),PRODUTOR,AC,"1,23","1,18","1,17","1,03","0,94","0,97","1,05","1,10","1,00",,,
BANANA PRATA (20 kg),PRODUTOR,AC,"27,50","28,50","26,75","26,50","28,98","28,18","27,78","28,82","28,75","28,18","27,84","29,48"
BATATA-DOCE (kg),PRODUTOR,AC,"1,72","1,63","1,60","1,67","1,52","1,51","1,51","1,55","1,60","1,57","1,64","1,70"
BOI GORDO (15 kg),PRODUTOR,AC,"152,57","161,25","169,50","176,41","181,19","179,59","180,39","187,24","206,95","226,14","244,00","253,52"
BORRACHA CERNAMBI VIRGEM PRENSADO (kg),PRODUTOR,AC,"2,50","2,50","2,50","2,50","2,50","2,50","2,50","2,50","2,50","2,50","2,50","2,50"
BORRACHA FOLHA DE DEFUMAÇÃO LÍQUIDA-FDL (kg),PRODUTOR,AC,"9,50","9,50",,,,,,,,,,
BURITI FRUTO (kg),PRODUTOR,AC,"0,87","0,94","1,00","1,00","0,96","0,85","0,80","0,80","0,82","0,86","0,88","0,89"
CAFÉ CONILLON TIPO 7 (60 kg),PRODUTOR,AC,,,,,,,"158,05","245,50","353,64","359,29","333,57","330,00"
CASTANHA DO BRASIL EM CASCA (10 kg),PRODUTOR,AC,"26,67","25,00","25,00","21,58","16,15","16,00","17,46","19,75","21,67",,,
FARINHA DE MANDIOCA EXTRA FINA SECA (50 kg),PRODUTOR,AC,"113,85","114,53","114,05","114,64","114,76","112,25","114,02","118,50","121,27","120,32","119,25","120,48"
FEIJÃO COMUM CORES (50 kg),PRODUTOR,AC,"238,42","239,57","236,61","244,19","254,88","254,22","252,49","251,13","250,93","252,81","255,77","256,83"
INHAME (kg),PRODUTOR,AC,"4,35","4,45","4,28","4,15","3,91","3,83","3,70","3,77","3,90","3,88","4,11","4,38"
LARANJA PERA (20 kg),PRODUTOR,AC,,,,"21,14","22,91","23,54","23,77","25,00",,,,
