Produto/Unidade,Nível de Comercialização,U.F.,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
RAIZ DE MANDIOCA DE MESA (kg),PRODUTOR,AC,"1,21","1,20","1,19","1,18","1,16","1,15","1,15","1,13","1,13","1,14","1,11","1,08"
RAIZ DE MANDIOCA PARA FARINHA (t),PRODUTOR,AC,"551,19","551,32","559,78","570,00","570,00","573,18","575,00","576,74","580,00","584,25","585,00","587,50"
ÓLEO DE MURUMURU (kg),PRODUTOR,AC,"39,50","40,00","40,00","40,00","40,00","40,00","40,00","40,70","42,00","42,00","42,59","43,45"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (kg),VAREJO,AC,"4,39","4,32","4,21","4,42","4,49","4,46","4,48","4,54","4,56","4,60","4,61","4,65"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (kg),VAREJO,AC,"3,01","2,99","2,94","2,97","2,98","2,98","2,98","2,98","2,95","2,95","2,96","3,00"
AÇÚCAR CRISTAL (kg),VAREJO,AC,"3,54","3,62","3,87","3,97","3,98","3,98","3,99","3,99","3,99","3,99","3,99","3,99"
CARNE BOVINA PONTA DE AGULHA (kg),VAREJO,AC,"32,00","32,00","31,00","30,05","30,00","30,00","30,00","30,00","30,00","30,00","30,00","30,00"
CARNE DE FRANGO CONGELADO (kg),VAREJO,AC,"8,98","9,03","9,09","9,08","9,10","9,10","9,12","9,16","9,16","9,17","9,18","9,21"
FARINHA DE MANDIOCA MÉDIA TIPO 1 SECA (kg),VAREJO,AC,"4,78","4,78","4,85","4,88","4,89","4,84","4,49","4,50","4,54","4,56","4,63","4,66"
FARINHA DE TRIGO COMUM (kg),VAREJO,AC,"4,49","4,49","4,55","4,55","4,56","4,63","4,65","4,66","4,71","4,74","4,75","4,75"
FEIJÃO COMUM CORES TIPO 1 (kg),VAREJO,AC,"6,66","6,67","6,65","6,66","6,69","6,74","6,76","6,77","6,77","6,78","6,78","6,76"
FLOCOS DE MILHO ENRIQUECIDO (kg),VAREJO,AC,"4,29","4,15","4,21","4,25","4,25","4,26","4,29","4,31","4,31","4,30","4,31","4,35"
FUBÁ DE MILHO COMUM AMARELO (500 g),VAREJO,AC,"3,49","3,51","3,67","3,74","3,79","3,80","3,82","3,84","3,85","3,85","3,86","3,85"
LEITE DE VACA EM PÓ INTEGRAL (400 g),VAREJO,AC,"12,33","12,35","12,24","12,23","12,44","12,82","13,25","13,40","14,18","15,25","15,07","15,69"
LEITE DE VACA LONGA VIDA INTEGRAL (l),VAREJO,AC,"5,29","5,33","5,25","5,23","5,24","5,27","5,49","5,68","7,14","7,38","7,50","7,50"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (kg),VAREJO,AC,"7,00","7,00","7,25","7,34","7,35","7,35","7,35","7,35","7,42","7,40","7,42","7,50"
OLEO DE SOJA REFINADO (900 ml),VAREJO,AC,"9,79","9,79","9,62","10,84","10,89","10,89","10,90","10,83","8,69","8,55","8,73","8,83"
PÃO FRANCÊS (kg),VAREJO,AC,"10,00","10,00","10,50","10,50","10,80","10,84","10,85","10,85","10,85","10,89","11,00","11,00"
RAIZ DE MANDIOCA DE MESA (kg),VAREJO,AC,"2,89","3,00","3,00","3,30","3,35","3,35","3,35","4,10","5,51","5,54","5,54","5,50"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg),ATACADO,AL,"122,61","126,14","140,67","137,96","134,90","135,96","137,21","134,11","138,47","141,47","139,71","150,04"
AÇÚCAR CRISTAL (30 kg),ATACADO,AL,"108,66","110,63","109,59","111,40","113,78","116,95","115,96","116,35","114,86","112,19","107,34","94,14"
CAFÉ MOÍDO E TORRADO (10 kg),ATACADO,AL,"278,37","280,17","291,83","293,91","299,05","297,11","302,56","286,09","302,38","298,16","301,65","287,56"
CARNE BOVINA DIANTEIRO COM OSSO (kg),ATACADO,AL,"17,09","19,00","19,00","18,29","18,00","18,00","18,71","19,00","19,00","19,00","19,00","19,00"
